Município,Hipertensão,Diabetes Tipo 1,Diabetes Tipo 2,Hiper_c/_Diabete
351590 Floreal,185,6,7,59
351600 Flórida Paulista,1693,16,62,456
351610 Florínia,149,-,-,59
351620 Franca,101,32,83,397
351630 Francisco Morato,1923,10,30,528
351640 Franco da Rocha,3187,36,67,1065
351650 Gabriel Monteiro,508,5,30,77
351660 Gália,823,8,56,201
351670 Garça,2862,52,65,909
351680 Gastão Vidigal,268,2,10,44
351685 Gavião Peixoto,626,6,50,234
351690 General Salgado,-,2,-,-
351700 Getulina,452,15,22,122
351710 Glicério,349,10,11,61
351720 Guaiçara,925,3,37,315
351730 Guaimbê,477,11,12,104
351740 Guaíra,1758,51,124,566
351750 Guapiaçu,826,27,65,353
351760 Guapiara,848,1,20,188
351770 Guará,1870,25,40,377
351780 Guaraçaí,1497,31,72,553
351800 Guarani d'Oeste,333,5,16,63
351810 Guarantã,1038,16,43,288
351820 Guararapes,1741,48,105,594
351830 Guararema,867,9,45,448
351840 Guaratinguetá,2877,49,115,1449
351850 Guareí,961,18,47,258
351860 Guariba,2767,23,128,645
351870 Guarujá,14420,252,1005,6888
351880 Guarulhos,39046,806,2818,20636
351890 Guzolândia,205,8,6,67
351900 Herculândia,1130,16,57,296
351905 Holambra,6,-,-,2
351920 Iacri,1361,23,49,353
351930 Ibaté,2095,44,141,726
351940 Ibirá,1027,7,40,300
351950 Ibirarema,293,5,18,105
351960 Ibitinga,1825,179,128,845
351970 Ibiúna,382,13,43,288
351990 Iepê,748,7,14,139
352000 Igaraçu do Tietê,2355,32,74,570
352010 Igarapava,1562,19,60,654
352020 Igaratá,945,23,44,315
352030 Iguape,8,-,-,4
352042 Ilha Comprida,694,7,39,379
352044 Ilha Solteira,996,29,110,465
352040 Ilhabela,2374,42,130,1084
352050 Indaiatuba,4466,119,446,2691
352060 Indiana,422,5,8,122
352070 Indiaporã,1349,16,58,234
352080 Inúbia Paulista,356,3,12,104
352090 Ipaussu,1214,20,69,498
352100 Iperó,1667,35,119,509
352110 Ipeúna,494,7,29,174
352115 Ipiguá,618,10,37,185
352120 Iporanga,482,2,11,315
352130 Ipuã,2792,43,112,935
352140 Iracemápolis,1256,15,133,916
352150 Irapuã,95,9,-,39
352160 Irapuru,288,10,13,147
352180 Itaí,2474,5,96,835
352190 Itajobi,2641,27,50,442
352200 Itaju,150,11,16,90
352210 Itanhaém,9845,145,416,3413
352215 Itaóca,511,6,17,125
352220 Itapecerica da Serra,12582,203,404,4531
352230 Itapetininga,3656,84,197,1982
352240 Itapeva,2965,24,83,889
352250 Itapevi,6138,116,294,2583
352260 Itapira,2484,112,241,1760
352265 Itapirapuã Paulista,303,1,6,90
352270 Itápolis,1128,43,131,620
352280 Itaporanga,566,2,21,142
352290 Itapuí,493,9,34,109
352300 Itapura,372,6,12,156
352310 Itaquaquecetuba,4844,271,534,4910
352320 Itararé,41,-,5,14
352340 Itatiba,13230,116,1043,3991
352350 Itatinga,767,35,71,384
352360 Itirapina,1691,30,151,492
352370 Itirapuã,685,13,17,205
352380 Itobi,185,13,30,157
352390 Itu,6246,114,230,2689
352400 Itupeva,536,7,14,280
352410 Ituverava,3736,63,199,1547
352420 Jaborandi,527,5,24,152
352430 Jaboticabal,1606,63,239,1075
352440 Jacareí,11120,214,772,4680
352450 Jaci,609,9,40,163
352460 Jacupiranga,803,22,25,274
352470 Jaguariúna,951,20,87,614
352480 Jales,3906,53,367,1365
352490 Jambeiro,99,1,1,77
352500 Jandira,2950,177,264,1815
